CID,HOMO,HOMO-1,delta_orbs
10331425,-0.1463,-0.23999,0.09369
10331660,-0.15764,-0.2518,0.09416
10331844,-0.15079,-0.25199,0.1011999999999999
10331961,-0.15142,-0.22421,0.07279
10332243,-0.14501,-0.23787,0.09286
10332320,-0.14923,-0.22358,0.07435
10332720,-0.16466,-0.25511,0.09045
10332722,-0.13965,-0.23627,0.09662
10332818,-0.14975,-0.23862,0.08887
10332864,-0.15236,-0.24586,0.0935
10332916,-0.14229,-0.23236,0.09007
10333139,-0.13643,-0.24037,0.10394
10333335,-0.14091,-0.23504,0.0941299999999999
10333591,-0.15422,-0.24978,0.09556
10333594,-0.14314,-0.23395,0.09081
10333648,-0.14794,-0.23835,0.09041
10334119,-0.13901,-0.23656,0.09755
10334164,-0.13747,-0.23161,0.09414
10334344,-0.15105,-0.22493,0.07388
10334544,-0.12241,-0.22639,0.10398
10334621,-0.15078,-0.23854,0.08776
10334772,-0.14411,-0.24316,0.09905
10335069,-0.14865,-0.23239,0.08374
10335304,-0.14741,-0.24975,0.1023399999999999
10335508,-0.15008,-0.22188,0.0718
10335673,-0.15603,-0.23403,0.0779999999999999
10335762,-0.13087,-0.22708,0.09621
10336233,-0.14231,-0.2405,0.09819
10336256,-0.14728,-0.24465,0.09737
10336479,-0.13929,-0.23704,0.09775
10337020,-0.14338,-0.24604,0.10266
10337076,-0.14256,-0.23878,0.09622
10337260,-0.15611,-0.24311,0.087
10337423,-0.14568,-0.24799,0.1023099999999999
10337443,-0.14994,-0.22905,0.07911
10337529,-0.1821,-0.25865,0.0765499999999999
10337616,-0.14408,-0.21779,0.07371
10337791,-0.12709,-0.22681,0.09972
10337794,-0.14373,-0.22909,0.0853599999999999
10352227,-0.13967,-0.23299,0.09332
10352532,-0.17497,-0.23599,0.06102
10352694,-0.15343,-0.24434,0.0909099999999999
10353030,-0.15639,-0.24936,0.09297
10353323,-0.14528,-0.23737,0.09209
10353787,-0.14941,-0.25042,0.1010099999999999
10354180,-0.14858,-0.23744,0.08886
10354307,-0.14499,-0.22137,0.07638
10354557,-0.16257,-0.23978,0.07721
10354630,-0.15348,-0.2294,0.0759199999999999
10355035,-0.15125,-0.22479,0.07354
10355036,-0.14338,-0.23447,0.09109
10355145,-0.14583,-0.24109,0.09526
10355329,-0.15402,-0.24329,0.08927
10355530,-0.18066,-0.24224,0.06158
10355548,-0.15539,-0.24508,0.0896899999999999
10355655,-0.1665,-0.24502,0.0785199999999999
10355708,-0.14677,-0.23939,0.0926199999999999
10356648,-0.14287,-0.2298,0.08693
10356869,-0.15612,-0.23309,0.0769699999999999
10357232,-0.15012,-0.23973,0.08961
10357247,-0.13965,-0.23334,0.09369
10357253,-0.17477,-0.25972,0.08495
10357257,-0.14015,-0.23588,0.09573
10357528,-0.19053,-0.25472,0.06419
10357533,-0.15402,-0.24142,0.0874
10357536,-0.152,-0.25298,0.1009799999999999
10357543,-0.13993,-0.23737,0.09744
10357654,-0.14911,-0.22169,0.07258
10357667,-0.14006,-0.2289,0.08884
10358086,-0.13554,-0.23032,0.09478
10358140,-0.1504,-0.22395,0.07355
10358253,-0.14437,-0.24498,0.10061
10358369,-0.14423,-0.23417,0.0899399999999999
10358563,-0.14255,-0.23388,0.09133
10358626,-0.13223,-0.23251,0.10028
10358641,-0.14283,-0.23088,0.0880499999999999
10358679,-0.15436,-0.23012,0.07576
10358776,-0.14921,-0.2395,0.0902899999999999
10358895,-0.14692,-0.24442,0.0975
10359253,-0.1369,-0.2335,0.0966
10359290,-0.15578,-0.22241,0.06663
10359394,-0.15741,-0.24552,0.08811
10359550,-0.15985,-0.23818,0.07833
10359712,-0.16205,-0.24869,0.08664
10359839,-0.14432,-0.23311,0.08879
10360004,-0.15628,-0.26643,0.11015
10360067,-0.16203,-0.25342,0.0913899999999999
10360120,-0.14655,-0.22974,0.0831899999999999
10360277,-0.16171,-0.23976,0.07805
10360368,-0.15723,-0.24526,0.08803
10376193,-0.14551,-0.24366,0.0981499999999999
10376242,-0.15048,-0.22471,0.0742299999999999
10376954,-0.1491,-0.24634,0.09724
10376959,-0.14883,-0.24186,0.09303
10377071,-0.11565,-0.23836,0.1227099999999999
10377150,-0.16585,-0.23258,0.06673
10377240,-0.16783,-0.24599,0.0781599999999999
10377412,-0.15522,-0.24415,0.08893
10377838,-0.14938,-0.23618,0.0867999999999999
10378228,-0.13482,-0.23818,0.10336
10378330,-0.14903,-0.24378,0.09475
10378429,-0.13959,-0.23896,0.09937
10378569,-0.16597,-0.25576,0.0897899999999999
10378826,-0.14889,-0.23341,0.08452
10378907,-0.15353,-0.24719,0.09366
10379022,-0.14752,-0.24747,0.0999499999999999
10379122,-0.13504,-0.22841,0.09337
10379343,-0.14333,-0.22457,0.0812399999999999
10379436,-0.19108,-0.26724,0.0761599999999999
10379595,-0.13691,-0.22963,0.09272
10379812,-0.15288,-0.22896,0.07608
10379965,-0.13891,-0.24119,0.1022799999999999
10380030,-0.14713,-0.24462,0.09749
10380040,-0.13005,-0.22613,0.09608
10380430,-0.1512,-0.23687,0.08567
10380616,-0.15119,-0.25622,0.10503
10380695,-0.14006,-0.22544,0.08538
10381442,-0.1554,-0.22939,0.07399
10381539,-0.15012,-0.22191,0.0717899999999999
10381613,-0.1471,-0.24455,0.0974499999999999
10381845,-0.15292,-0.22276,0.06984
10381980,-0.14603,-0.23563,0.0896
10381986,-0.15146,-0.23764,0.0861799999999999
10382108,-0.15367,-0.21625,0.06258
10382195,-0.18094,-0.25302,0.07208
10382220,-0.13582,-0.24015,0.10433
10382360,-0.13661,-0.24048,0.1038699999999999
10382501,-0.14797,-0.22809,0.08012
10382766,-0.14633,-0.24301,0.09668
10382809,-0.17908,-0.26006,0.08098
10382993,-0.1541,-0.22057,0.06647
10397889,-0.15648,-0.22862,0.0721399999999999
10398392,-0.16264,-0.24629,0.08365
10398581,-0.1373,-0.23134,0.0940399999999999
10398703,-0.15401,-0.23541,0.0814
10398791,-0.14671,-0.23212,0.0854099999999999
10398858,-0.14111,-0.24102,0.09991
10399161,-0.13447,-0.22777,0.0933
10399257,-0.14992,-0.24842,0.0985
10399509,-0.15905,-0.24612,0.08707
10399516,-0.1494,-0.23258,0.08318
10399556,-0.14627,-0.24536,0.0990899999999999
10399569,-0.14266,-0.23141,0.08875
10400054,-0.15355,-0.23979,0.08624
10400816,-0.13607,-0.23251,0.09644
10400914,-0.13678,-0.23484,0.0980599999999999
10400921,-0.15352,-0.23645,0.08293
10401163,-0.13096,-0.22064,0.08968
10401255,-0.18476,-0.25695,0.07219
10401546,-0.14418,-0.23606,0.0918799999999999
10401719,-0.12931,-0.23259,0.1032799999999999
10401829,-0.15615,-0.25327,0.0971199999999999
10402067,-0.16322,-0.22784,0.0646199999999999
10402223,-0.1537,-0.2422,0.0885
10402250,-0.15046,-0.22219,0.0717299999999999
10402346,-0.16288,-0.23752,0.07464
10402352,-0.13853,-0.23067,0.09214
10402401,-0.13424,-0.22868,0.09444
10402511,-0.13643,-0.23396,0.09753
10402517,-0.14048,-0.22602,0.08554
10402654,-0.14504,-0.23041,0.08537
10402762,-0.1395,-0.22807,0.0885699999999999
10403278,-0.17418,-0.25792,0.0837399999999999
10403347,-0.15942,-0.24244,0.0830199999999999
10403457,-0.151,-0.22969,0.07869
10403458,-0.14333,-0.23173,0.0883999999999999
10403632,-0.13868,-0.23673,0.09805
10403757,-0.14063,-0.23852,0.09789
10404209,-0.1528,-0.23114,0.07834
10404211,-0.14909,-0.24221,0.09312
10404364,-0.1488,-0.23172,0.08292
10404609,-0.18044,-0.26107,0.08063
10404797,-0.15661,-0.23354,0.07693
10404856,-0.1382,-0.24217,0.10397
10405104,-0.14422,-0.22946,0.08524
10405225,-0.1486,-0.2323,0.0837
10405331,-0.15033,-0.22377,0.07344
1041635,-0.14701,-0.25354,0.1065299999999999
10419488,-0.14873,-0.24194,0.0932099999999999
10421274,-0.14858,-0.2354,0.08682
10421287,-0.14009,-0.23561,0.09552
10421569,-0.15462,-0.24355,0.0889299999999999
10421598,-0.16695,-0.23354,0.06659
10421604,-0.15577,-0.24606,0.09029
10421799,-0.13985,-0.23286,0.09301
10421912,-0.16042,-0.24136,0.0809399999999999
10422304,-0.14348,-0.22858,0.0851
10422305,-0.14347,-0.22858,0.08511
10422306,-0.1332,-0.23523,0.1020299999999999
10422448,-0.15123,-0.2403,0.08907
10422712,-0.13971,-0.22796,0.08825
10422753,-0.16265,-0.24615,0.0835
10423018,-0.14321,-0.25268,0.10947
10423024,-0.14174,-0.22928,0.08754
10423147,-0.14697,-0.24382,0.09685
10423193,-0.13751,-0.2286,0.09109
10423232,-0.1511,-0.25112,0.10002
10423303,-0.15653,-0.23,0.07347
10423422,-0.14582,-0.2378,0.09198
10423556,-0.14797,-0.23977,0.0918
10423572,-0.17018,-0.25358,0.0834
10423573,-0.16843,-0.25307,0.08464
10423613,-0.15607,-0.23096,0.07489
10423664,-0.14311,-0.23125,0.08814
10423665,-0.13588,-0.23192,0.0960399999999999
10423821,-0.15316,-0.24492,0.09176
10423934,-0.15055,-0.25185,0.1013
10423984,-0.14466,-0.23673,0.0920699999999999
10424185,-0.13567,-0.22657,0.0908999999999999
10424299,-0.18561,-0.2645,0.07889
10424422,-0.14796,-0.22274,0.0747799999999999
10424647,-0.06958,-0.22626,0.1566799999999999
10424860,-0.15252,-0.24035,0.08783
10424973,-0.14816,-0.25115,0.10299
10425242,-0.14739,-0.21951,0.07212
10425377,-0.1388,-0.23032,0.0915199999999999
10425490,-0.11599,-0.23718,0.12119
10425559,-0.1577,-0.23622,0.07852
10425624,-0.14143,-0.23968,0.09825
10425634,-0.15301,-0.22783,0.07482
10425994,-0.11282,-0.21627,0.1034499999999999
10426268,-0.12764,-0.22861,0.10097
10426391,-0.19773,-0.23798,0.04025
10426621,-0.1448,-0.22996,0.0851599999999999
10426755,-0.13859,-0.23572,0.09713
10426995,-0.13574,-0.24024,0.1045
10427033,-0.16661,-0.2427,0.0760899999999999
10427155,-0.16207,-0.25826,0.09619
10427285,-0.14048,-0.23596,0.09548
10427286,-0.14046,-0.23716,0.0967
10427474,-0.13712,-0.22036,0.08324
10427592,-0.14297,-0.23162,0.0886499999999999
10427697,-0.12647,-0.21383,0.08736
10427702,-0.11295,-0.21647,0.10352
10427828,-0.12866,-0.22398,0.09532
10427857,-0.15064,-0.24185,0.09121
10442255,-0.14941,-0.23934,0.08993
10443122,-0.18709,-0.26518,0.07809
10443215,-0.1426,-0.23854,0.09594
10443448,-0.14618,-0.22435,0.0781699999999999
10443649,-0.14454,-0.22782,0.0832799999999999
10443678,-0.15808,-0.25015,0.0920699999999999
10444193,-0.14626,-0.22192,0.07566
10444314,-0.1567,-0.22945,0.0727499999999999
10444415,-0.14011,-0.23565,0.0955399999999999
10444599,-0.14949,-0.23739,0.0878999999999999
10444788,-0.14705,-0.22705,0.08
10445016,-0.11488,-0.23645,0.12157
10445061,-0.14225,-0.23787,0.09562
10445062,-0.13903,-0.23484,0.09581
10445066,-0.14551,-0.23637,0.09086
10445118,-0.15468,-0.24486,0.0901799999999999
10445129,-0.15248,-0.22765,0.0751699999999999
10445278,-0.15304,-0.24564,0.0925999999999999
10445298,-0.14661,-0.23958,0.09297
10445779,-0.15587,-0.24907,0.0932
